subject,csp_within,csp_within_kappa,eegnet_within,eegnet_within_kappa,csp_cross,csp_cross_kappa,eegnet_cross,eegnet_cross_kappa
1,0.5805555555555555,0.16111111111111112,0.6944444444444444,0.3888888888888889,0.5666666666666667,0.1333333333333333,0.6680555555555555,0.33611111111111114
2,0.5294117647058822,0.05882352941176472,0.4970588235294118,-0.005882352941176494,0.5102941176470588,0.020588235294117685,0.5338235294117647,0.0676470588235294
3,0.4916666666666667,-0.016666666666666673,0.47777777777777775,-0.04444444444444444,0.5222222222222223,0.0444444444444444,0.5416666666666666,0.08333333333333337
4,0.7067567567567566,0.4135135135135135,0.7527027027027027,0.5054054054054054,0.6608108108108108,0.32162162162162167,0.672972972972973,0.34594594594594597
5,0.5878378378378379,0.17567567567567566,0.6824324324324323,0.3648648648648649,0.5716216216216217,0.14324324324324322,0.6081081081081081,0.21621621621621623
6,0.6138888888888888,0.22777777777777777,0.625,0.25,0.6361111111111111,0.27222222222222225,0.6263888888888889,0.25277777777777777
7,0.6194444444444445,0.23888888888888893,0.6444444444444444,0.28888888888888886,0.5958333333333333,0.19166666666666665,0.6111111111111112,0.2222222222222222
8,0.6092105263157894,0.21842105263157893,0.6644736842105263,0.32894736842105265,0.5776315789473684,0.15526315789473688,0.5789473684210527,0.1578947368421053
9,0.6958333333333333,0.3916666666666667,0.7027777777777777,0.4055555555555556,0.7027777777777777,0.40555555555555556,0.6236111111111111,0.24722222222222223
