subject,n_trials,kfold_acc,kfold_kappa,kfold_sens,kfold_spec,intersession_acc,intersession_kappa,intersession_sens,intersession_spec
1,281,0.7188612099644128,0.43727344165885074,0.708029197080292,0.7291666666666666,0.7375886524822695,0.47887323943661975,0.9130434782608695,0.5694444444444444
2,282,0.6276595744680851,0.254869394534199,0.6159420289855072,0.6388888888888888,0.6170212765957447,0.2276323797930615,0.42028985507246375,0.8055555555555556
3,282,0.9078014184397163,0.8158529234478602,0.9492753623188406,0.8680555555555556,0.851063829787234,0.7002733070148801,0.7101449275362319,0.9861111111111112
4,281,0.5836298932384342,0.1683656691877672,0.6131386861313869,0.5555555555555556,0.5857142857142857,0.16254125412541254,0.39705882352941174,0.7638888888888888
5,282,0.5141843971631206,0.03129231232134788,0.5869565217391305,0.4444444444444444,0.5106382978723404,0.0264184929450616,0.6376811594202898,0.3888888888888889
6,283,0.6466431095406361,0.2932067932067932,0.6428571428571429,0.6503496503496503,0.5531914893617021,0.11953612845673511,0.9130434782608695,0.20833333333333334
7,282,0.7056737588652482,0.4113475177304965,0.7101449275362319,0.7013888888888888,0.5531914893617021,0.09917858229388499,0.36231884057971014,0.7361111111111112
8,282,0.8652482269503546,0.7306184012066366,0.8840579710144928,0.8472222222222222,0.8156028368794326,0.6334733053389322,0.9710144927536232,0.6666666666666666
9,283,0.6183745583038869,0.2368920403475483,0.6285714285714286,0.6083916083916084,0.49645390070921985,0.008910008910008926,0.8840579710144928,0.125
