subject,csp_within,csp_within_kappa,eegnet_within,eegnet_within_kappa,csp_cross,csp_cross_kappa,eegnet_cross,eegnet_cross_kappa
1,0.5581012658227849,0.115492663910294,0.4266772151898734,-0.1456713367535097,0.547979797979798,0.09595959595959591,0.5,0.0
2,0.7125000000000001,0.425,0.4225,-0.15500000000000003,0.395,-0.20999999999999996,0.5,0.0
3,0.5757278481012659,0.14996846974944983,0.39892405063291136,-0.20289493174131912,0.5631313131313131,0.12746446584135718,0.5025252525252525,0.0
4,0.5498864005193118,0.09950956189723839,0.4092502434274586,-0.18263410768240132,0.5754475703324808,0.1501558121873937,0.5012787723785166,0.0
5,0.6464873417721518,0.29377551020408166,0.8120253164556962,0.6240628003844921,0.543859649122807,0.08594517030435767,0.49874686716791977,0.0
6,0.5239873417721518,0.047887920148290866,0.4207911392405063,-0.15539623789060975,0.5214105793450882,0.047625059973233186,0.5037783375314862,0.0
7,0.705,0.41,0.5925,0.18499999999999997,0.5075,0.015000000000000013,0.5,0.0
8,0.5314556962025316,0.06357804021704438,0.4812974683544303,-0.037682926829268305,0.48370927318295737,-0.031602992118078266,0.5012531328320802,0.0
9,0.7685443037974684,0.5371447365387313,0.38806962025316455,-0.22090259725354994,0.5113350125944585,0.0197031794924013,0.49622166246851385,0.0
10,0.6189873417721519,0.23763648041104685,0.38841772151898735,-0.22271912987843887,0.518796992481203,0.03886783930946236,0.49874686716791977,0.0
11,0.6532278481012658,0.3062278844852266,0.5197784810126582,0.04116207686081337,0.5276381909547738,0.05677692617991115,0.5025125628140703,0.0
12,0.6942088607594936,0.38851905219340377,0.7969620253164557,0.5940480000000001,0.5588972431077694,0.11887374840021092,0.5012531328320802,0.0
13,0.5989873417721518,0.19794871794871796,0.4085126582278481,-0.18308913113177297,0.48370927318295737,-0.032717678100263825,0.49874686716791977,0.0
14,0.5175,0.03499999999999999,0.3775,-0.24499999999999997,0.475,-0.050000000000000044,0.5,0.0
15,0.6886075949367088,0.37718901983698827,0.3820886075949367,-0.23580580685882593,0.678391959798995,0.35601961874905186,0.5025125628140703,0.0
16,0.6036392405063291,0.2078984859372949,0.39901898734177216,-0.20239131977871824,0.6085858585858586,0.21609195402298853,0.494949494949495,0.0
17,0.8387025316455696,0.6772694832577587,0.6554430379746836,0.3104670771208861,0.5264483627204031,0.051904169101394726,0.4987405541561713,0.0
18,0.8,0.6000452792125305,0.44050632911392407,-0.11777066062519799,0.4810126582278481,-0.037170340578688954,0.49873417721518987,0.0
