subject,csp_within,csp_within_kappa,eegnet_within,eegnet_within_kappa,csp_cross,csp_cross_kappa,eegnet_cross,eegnet_cross_kappa
1,0.718796992481203,0.4375317547136143,0.6228070175438596,0.24071114051798892,0.6583629893238434,0.3177541729893778,0.6370106761565836,0.27098382337979443
2,0.6273182957393484,0.2531502123188208,0.5421679197994987,0.07967908146225453,0.375886524822695,-0.2537132464383147,0.5957446808510638,0.19234247814290029
3,0.9077694235588971,0.815657970960687,0.8298872180451129,0.6597228545968558,0.74822695035461,0.497666716844799,0.574468085106383,0.15238954012623984
4,0.5833959899749374,0.16808029734410102,0.5266290726817042,0.05231881791337356,0.5444839857651246,0.08613242542812127,0.6512455516014235,0.2955591936969201
5,0.5142857142857142,0.031075113919937357,0.5281954887218046,0.05515597121785509,0.4929078014184397,-0.01787066484931077,0.5460992907801419,0.09778044391121776
6,0.6465538847117794,0.2928370060537858,0.5618421052631579,0.12441450381280597,0.568904593639576,0.13848687493761858,0.5653710247349824,0.12809658592791118
7,0.7057644110275689,0.41162382811261083,0.6098997493734336,0.22048374866353115,0.549645390070922,0.09327054534406809,0.6312056737588653,0.2684824902723735
8,0.8651629072681704,0.7306460973985999,0.7979949874686717,0.5958942984219694,0.7588652482269503,0.5144333029474324,0.6843971631205674,0.3668836082942334
9,0.6182330827067669,0.23662187430284226,0.6221177944862155,0.24395868665250342,0.46996466431095407,-0.054972911178488015,0.49469964664310956,-0.013067314191303359
