subject,n_trials,kfold_acc,kfold_kappa,kfold_sens,kfold_spec,intersession_acc,intersession_kappa,intersession_sens,intersession_spec
1,720,0.5805555555555556,0.1611111111111111,0.6805555555555556,0.48055555555555557,0.65625,0.3125,0.9375,0.375
2,680,0.5294117647058824,0.05882352941176472,0.6970588235294117,0.36176470588235293,0.5,0.0,0.7875,0.2125
3,720,0.49166666666666664,-0.016666666666666607,0.5388888888888889,0.4444444444444444,0.45625,-0.08749999999999991,0.3125,0.6
4,740,0.7067567567567568,0.4135135135135135,0.7351351351351352,0.6783783783783783,0.725,0.44999999999999996,0.7125,0.7375
5,740,0.5878378378378378,0.17567567567567566,0.6891891891891891,0.4864864864864865,0.65,0.30000000000000004,0.825,0.475
6,720,0.6138888888888889,0.22777777777777775,0.65,0.5777777777777777,0.66875,0.3375,0.7,0.6375
7,720,0.6194444444444445,0.23888888888888893,0.6138888888888889,0.625,0.59375,0.1875,0.8375,0.35
8,760,0.6092105263157894,0.21842105263157896,0.6421052631578947,0.5763157894736842,0.58125,0.16249999999999998,0.525,0.6375
9,720,0.6958333333333333,0.3916666666666667,0.6666666666666666,0.725,0.70625,0.4125,0.875,0.5375
